"fold","test_year","converged","alpha_beta_1","alpha_beta_2","nu_1","nu_2","nu_1_se","nu_2_se","P_1_1","P_2_1","P_1_2","P_2_2"
1,2013,TRUE,0.984609201808294,0.929260345613119,6.35762484053898,98.2819496157554,2.4509076874688,70.0362132159273,0.993548847917456,0.00516607484012971,0.00645115208254443,0.99483392515987
2,2014,TRUE,0.945525261251279,0.94323097827573,5.65650275791389,43.4181379865139,1.54852330716216,74.2553941878186,0.998708607740596,0.0011992668619099,0.001291392259404,0.99880073313809
3,2015,TRUE,0.99989779221674,0.99984624552504,5.03575557303297,98.6754146664812,1.0095914729229,37.1698088616068,0.9971669265559,0.00281647054247912,0.00283307344410011,0.997183529457521
4,2016,TRUE,0.998004408390183,0.988324656363207,5.36073164648794,26.2767403331544,1.13572612507713,30.3353888011492,0.997064068971402,0.00217319845321498,0.00293593102859824,0.997826801546785
5,2017,TRUE,0.997963167886184,0.988174532246923,5.20169967014746,30.1530312862156,0.90835357225574,45.3366419191076,0.997166836860108,0.00314735220275391,0.00283316313989168,0.996852647797246
6,2018,TRUE,0.996360255436621,0.436398421166237,5.95344194490348,99.9540487812372,0.943771405937412,10.0837981471325,0.998044553672375,0.00400552988364868,0.00195544632762457,0.995994470116351
7,2019,TRUE,0.998014210672646,0.988317145144969,6.75783009315681,97.0906949319683,1.08250652678904,110.192244630274,0.998641012320715,0.00277219659015321,0.00135898767928455,0.997227803409847
8,2020,TRUE,0.997768286240928,0.988094498607152,7.09590506486732,71.7279304403358,1.12499496428403,202.046881524875,0.998852424957405,0.00252173740845055,0.00114757504259544,0.997478262591549
9,2021,TRUE,0.997357340686017,0.962345668076179,7.77573452883215,76.5345612636172,1.27336639340877,218.924324294762,0.998109535442666,0.00491903333491343,0.00189046455733377,0.995080966665087
10,2022,TRUE,0.997578535307936,0.962892986041874,7.08093388119178,68.0337067936186,1.00625622638483,187.67059054383,0.998365782282668,0.00450934068774603,0.00163421771733208,0.995490659312254
11,2023,TRUE,0.997421066724509,0.977211402795879,7.05800971698211,82.8575409973782,1.00459196132174,174.291290305408,0.997721287935668,0.00489814831860046,0.00227871206433161,0.9951018516814
12,2024,TRUE,0.997666502823837,0.979102287478281,7.44138394305247,84.554577341376,1.0362207318186,150.40621528194,0.997903627517119,0.00515890474913998,0.00209637248288108,0.99484109525086
13,2025,TRUE,0.99705931667986,0.980889032283802,7.11707908767252,84.8272387271714,0.94119030802311,177.371944845549,0.997795207035601,0.00597455183254164,0.00220479296439857,0.994025448167458
14,2026,TRUE,0.996433168092324,0.989318861071342,7.48165917822161,21.1177120934851,1.08421314364861,16.2517163245178,0.997221249595491,0.00673522751993105,0.00277875040450903,0.993264772480069
