Date,Open,High,Low,Close
2020-01-01,1.1220,1.1275,1.1149,1.1219
2020-01-02,1.1218,1.1225,1.1162,1.1170
2020-01-03,1.1171,1.1180,1.1125,1.1153
2020-01-06,1.1161,1.1206,1.1156,1.1194
2020-01-07,1.1195,1.1197,1.1133,1.1153
2020-01-08,1.1154,1.1167,1.1101,1.1113
2020-01-09,1.1113,1.1120,1.1093,1.1109
2020-01-10,1.1109,1.1129,1.1085,1.1119
2020-01-13,1.1116,1.1146,1.1113,1.1134
2020-01-14,1.1134,1.1144,1.1104,1.1128
2020-01-15,1.1127,1.1163,1.1118,1.1152
2020-01-16,1.1152,1.1171,1.1127,1.1137
2020-01-17,1.1135,1.1143,1.1086,1.1089
2020-01-20,1.1094,1.1102,1.1075,1.1096
2020-01-21,1.1096,1.1118,1.1079,1.1085
2020-01-22,1.1085,1.1097,1.1070,1.1096
2020-01-23,1.1095,1.1107,1.1035,1.1053
2020-01-24,1.1055,1.1060,1.1019,1.1026
2020-01-27,1.1025,1.1037,1.1009,1.1019
2020-01-28,1.1019,1.1025,1.0998,1.1022
2020-01-29,1.1022,1.1028,1.0992,1.1013
2020-01-30,1.1014,1.1039,1.1006,1.1029
2020-01-31,1.1027,1.1095,1.1016,1.1095
2020-02-03,1.1088,1.1089,1.1035,1.1062
2020-02-04,1.1062,1.1064,1.1033,1.1043
2020-02-05,1.1044,1.1047,1.0992,1.0999
2020-02-06,1.1000,1.1013,1.0964,1.0980
2020-02-07,1.0979,1.0985,1.0941,1.0942
2020-02-10,1.0948,1.0957,1.0907,1.0908
2020-02-11,1.0910,1.0924,1.0892,1.0918
2020-02-12,1.0919,1.0925,1.0865,1.0875
2020-02-13,1.0875,1.0889,1.0834,1.0842
2020-02-14,1.0841,1.0861,1.0828,1.0830
2020-02-17,1.0840,1.0851,1.0827,1.0835
2020-02-18,1.0836,1.0837,1.0785,1.0794
2020-02-19,1.0794,1.0811,1.0782,1.0809
2020-02-20,1.0809,1.0821,1.0778,1.0786
2020-02-21,1.0787,1.0863,1.0786,1.0845
2020-02-24,1.0838,1.0872,1.0808,1.0848
2020-02-25,1.0848,1.0889,1.0829,1.0879
2020-02-26,1.0879,1.0906,1.0855,1.0885
2020-02-27,1.0885,1.1006,1.0885,1.0996
2020-02-28,1.0996,1.1053,1.0951,1.1027
2020-03-02,1.1050,1.1183,1.1036,1.1141
2020-03-03,1.1144,1.1211,1.1096,1.1176
2020-03-04,1.1177,1.1185,1.1095,1.1138
2020-03-05,1.1139,1.1244,1.1120,1.1223
2020-03-06,1.1222,1.1354,1.1213,1.1290
2020-03-09,1.1387,1.1492,1.1355,1.1400
2020-03-10,1.1397,1.1425,1.1274,1.1317
2020-03-11,1.1314,1.1367,1.1251,1.1261
2020-03-12,1.1259,1.1333,1.1055,1.1183
2020-03-13,1.1182,1.1221,1.1055,1.1142
2020-03-16,1.1153,1.1236,1.1086,1.1160
2020-03-17,1.1163,1.1189,1.0956,1.1016
2020-03-18,1.1016,1.1045,1.0802,1.0958
2020-03-19,1.0945,1.0947,1.0653,1.0656
2020-03-20,1.0655,1.0830,1.0638,1.0761
2020-03-23,1.0689,1.0827,1.0657,1.0764
2020-03-24,1.0763,1.0888,1.0746,1.0798
2020-03-25,1.0801,1.0894,1.0760,1.0889
2020-03-26,1.0886,1.1058,1.0875,1.1048
2020-03-27,1.1047,1.1167,1.0955,1.1166
2020-03-30,1.1137,1.1137,1.1010,1.1029
2020-03-31,1.1028,1.1042,1.0927,1.1026
2020-04-01,1.1026,1.1036,1.0902,1.0953
2020-04-02,1.0953,1.0964,1.0821,1.0846
2020-04-03,1.0844,1.0855,1.0773,1.0799
2020-04-06,1.0805,1.0835,1.0768,1.0801
2020-04-07,1.0799,1.0922,1.0789,1.0895
2020-04-08,1.0893,1.0897,1.0830,1.0859
2020-04-09,1.0859,1.0952,1.0841,1.0925
2020-04-10,1.0921,1.0952,1.0918,1.0935
2020-04-13,1.0930,1.0968,1.0892,1.0919
2020-04-14,1.0918,1.0990,1.0915,1.0985
2020-04-15,1.0983,1.0987,1.0857,1.0903
2020-04-16,1.0902,1.0907,1.0817,1.0858
2020-04-17,1.0859,1.0893,1.0812,1.0871
2020-04-20,1.0864,1.0896,1.0841,1.0864
2020-04-21,1.0864,1.0880,1.0817,1.0855
2020-04-22,1.0856,1.0884,1.0803,1.0805
2020-04-23,1.0806,1.0846,1.0756,1.0774
2020-04-24,1.0772,1.0828,1.0727,1.0825
2020-04-27,1.0820,1.0860,1.0810,1.0822
2020-04-28,1.0824,1.0888,1.0808,1.0833
2020-04-29,1.0832,1.0885,1.0831,1.0876
2020-04-30,1.0876,1.0970,1.0835,1.0945
